Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram
180, 23.198590513648185,45.0,nan,220.0,292.0,268.0,196.0,0.0014861595
181, 8.130102354155978,nan,204.0,252.0,204.0,220.0,252.0,0.04090195
182, 63.43494882292202,nan,300.0,204.0,340.0,260.0,252.0,0.10756704
183, 26.565051177077994,nan,nan,188.0,244.0,180.0,228.0,0.008084783
184, nan,84.8055710922652,nan,260.0,260.0,204.0,332.0,0.071253926
185, 25.407718108948472,18.43494882292201,196.0,220.0,188.0,220.0,300.0,0.0028493998
186, nan,32.005383208083494,204.0,188.0,244.0,260.0,196.0,0.0010905707
187, 45.0,nan,nan,180.0,244.0,260.0,188.0,0.025589025
188, nan,45.0,nan,252.0,252.0,204.0,332.0,0.01688053
189, nan,nan,nan,180.0,244.0,252.0,172.0,0.0034787876
190, 13.736268305622573,26.565051177077994,nan,220.0,292.0,260.0,180.0,0.027782131
191, 0.0,41.82016988013577,268.0,252.0,164.0,244.0,236.0,0.023617588
192, 45.0,nan,180.0,172.0,244.0,252.0,180.0,0.085175924
193, nan,nan,nan,172.0,244.0,236.0,164.0,0.016054202
194, 87.82525588538995,45.0,nan,164.0,244.0,252.0,164.0,2.6695638e-05
195, 87.82525588538995,45.0,nan,164.0,244.0,244.0,156.0,0.0068749054
196, 26.565051177077994,nan,nan,164.0,244.0,212.0,148.0,0.006586119
197, 87.82525588538995,nan,148.0,164.0,244.0,236.0,148.0,0.010597723
198, 78.69006752597979,nan,nan,156.0,244.0,204.0,140.0,0.02264318
199, 71.56505117707799,nan,nan,156.0,244.0,204.0,140.0,0.027972007
200, 48.731396999160445,nan,nan,204.0,332.0,220.0,132.0,0.048916724
201, 33.690067525979785,nan,nan,164.0,244.0,196.0,132.0,0.02063907
202, nan,nan,nan,164.0,244.0,196.0,132.0,0.0012203894
203, nan,nan,nan,156.0,252.0,188.0,132.0,0.0004959043
204, nan,nan,nan,156.0,244.0,188.0,132.0,0.013579369
205, 75.96375653207353,nan,nan,164.0,252.0,180.0,132.0,0.008119754
206, 30.96375653207352,nan,nan,164.0,244.0,180.0,132.0,0.011250622
207, 30.96375653207352,nan,nan,164.0,244.0,180.0,132.0,0.0102363955
208, nan,nan,nan,164.0,244.0,180.0,132.0,0.008536667
209, 66.80140948635182,nan,nan,156.0,252.0,180.0,132.0,0.03334145
210, 66.80140948635182,nan,nan,156.0,252.0,180.0,132.0,0.05972406
211, nan,nan,nan,156.0,252.0,188.0,132.0,0.026274262
212, nan,nan,nan,164.0,244.0,188.0,132.0,0.03386171
213, 63.43494882292202,nan,nan,212.0,140.0,nan,nan,0.028420813
214, 18.43494882292201,nan,nan,164.0,244.0,204.0,140.0,0.0073138126
215, nan,nan,nan,164.0,244.0,204.0,140.0,0.030753411
216, 81.02737338510362,nan,148.0,204.0,332.0,196.0,332.0,0.005674282
217, nan,nan,nan,164.0,244.0,228.0,156.0,0.019333683
218, nan,nan,nan,172.0,244.0,236.0,164.0,0.028318498
219, nan,nan,nan,172.0,244.0,252.0,172.0,0.016018422
220, 49.398705354995535,26.565051177077994,nan,204.0,332.0,268.0,180.0,0.0117486585
221, 56.309932474020215,53.13010235415598,nan,204.0,332.0,268.0,188.0,0.020195255
222, 56.309932474020215,26.565051177077994,nan,204.0,332.0,268.0,188.0,0.0030203573
223, 45.0,nan,nan,204.0,332.0,276.0,188.0,0.0829815
224, nan,nan,nan,268.0,188.0,276.0,188.0,0.003138304
225, nan,nan,nan,nan,nan,nan,nan,0.0115996525
226, nan,nan,nan,nan,nan,nan,nan,0.0039928844
227, nan,nan,nan,268.0,172.0,nan,nan,0.0023294033
228, nan,nan,nan,nan,nan,nan,nan,0.044042587
229, nan,nan,nan,nan,nan,nan,nan,0.0006816848
230, nan,nan,nan,nan,nan,nan,nan,0.078958526
231, 0.0,43.49256424122504,nan,268.0,196.0,188.0,220.0,0.007962692
232, 0.7848246029918882,nan,nan,204.0,268.0,nan,nan,0.020517988
233, 84.28940686250036,0.0,132.0,204.0,252.0,260.0,124.0,0.04249821
234, 45.0,nan,nan,276.0,140.0,260.0,124.0,0.03190212
235, 59.03624346792648,45.0,116.0,196.0,348.0,196.0,332.0,0.0116582075
236, nan,nan,nan,196.0,332.0,nan,nan,0.008434102
237, nan,nan,nan,196.0,332.0,260.0,76.0,0.027660886
238, nan,nan,nan,196.0,332.0,nan,nan,0.023817077
239, nan,nan,nan,196.0,332.0,nan,nan,0.023703432
240, nan,nan,nan,276.0,60.0,nan,nan,0.036526132
241, nan,nan,nan,244.0,52.0,nan,nan,0.035453063
242, nan,nan,60.0,188.0,188.0,260.0,60.0,0.025820877
243, nan,nan,nan,188.0,196.0,260.0,52.0,0.008296362
244, 38.659808254090095,nan,nan,188.0,332.0,236.0,52.0,0.009085728
245, 38.659808254090095,nan,nan,188.0,324.0,236.0,52.0,0.007401322
246, nan,nan,nan,188.0,332.0,236.0,52.0,0.0059830253
247, 42.64670313389169,45.0,nan,188.0,332.0,188.0,332.0,0.072285354
248, nan,nan,nan,188.0,332.0,236.0,52.0,0.09703048
249, nan,nan,60.0,188.0,188.0,252.0,60.0,0.06974774
250, nan,nan,nan,188.0,332.0,236.0,52.0,0.07177532
251, 75.96375653207353,nan,nan,188.0,332.0,236.0,52.0,0.115837105
252, nan,nan,nan,188.0,332.0,244.0,52.0,0.0029647336
253, nan,nan,nan,188.0,332.0,244.0,52.0,0.086442724
254, nan,nan,nan,188.0,348.0,252.0,60.0,0.033466138
255, nan,nan,nan,196.0,332.0,nan,nan,0.117152564
256, nan,nan,nan,196.0,332.0,nan,nan,0.00063406717
257, 0.0,nan,nan,276.0,76.0,nan,nan,0.0011918431
258, 0.5161642297648366,nan,nan,284.0,84.0,nan,nan,0.0005131707
259, 32.9052429229879,nan,100.0,180.0,228.0,276.0,100.0,0.00070765143
260, nan,nan,nan,188.0,348.0,252.0,100.0,0.0002100666
261, 53.13010235415598,nan,nan,268.0,116.0,188.0,332.0,0.000301371
262, nan,nan,nan,188.0,332.0,252.0,108.0,0.0005131707
263, nan,nan,nan,188.0,332.0,252.0,116.0,0.00032773043
264, nan,nan,nan,252.0,124.0,188.0,332.0,0.0004077582
265, 49.39870535499553,nan,148.0,180.0,228.0,260.0,148.0,0.0002593395
266, 85.42607874009914,nan,164.0,172.0,236.0,260.0,164.0,0.001039268
267, 77.66091272167381,nan,164.0,164.0,228.0,260.0,164.0,0.00032773043
268, 85.42607874009914,nan,164.0,172.0,236.0,260.0,164.0,0.0006720527
269, nan,nan,nan,172.0,236.0,244.0,156.0,0.00017523546
270, nan,75.96375653207353,172.0,164.0,236.0,236.0,172.0,0.00026960825
271, 45.0,nan,nan,164.0,236.0,236.0,164.0,0.00054695614
272, 65.34410125591839,nan,nan,188.0,332.0,252.0,172.0,0.00082888384
273, 54.46232220802562,nan,nan,156.0,236.0,228.0,164.0,0.0009339091
274, 81.86989764584403,nan,nan,156.0,236.0,244.0,172.0,0.00017523546
275, 53.13010235415598,18.43494882292201,164.0,188.0,332.0,188.0,340.0,0.0011327275
276, 62.59242456218159,nan,156.0,188.0,332.0,188.0,340.0,8.106197e-05
277, 68.38522105721376,nan,156.0,188.0,332.0,188.0,340.0,9.18609e-05
278, 86.63353933657021,45.0,nan,140.0,236.0,228.0,156.0,0.000117077885
279, nan,nan,nan,140.0,236.0,220.0,148.0,9.933996e-05
280, nan,nan,nan,148.0,244.0,220.0,148.0,9.933996e-05
281, nan,nan,148.0,140.0,236.0,212.0,148.0,0.00016525405
282, 84.8055710922652,nan,nan,140.0,244.0,204.0,148.0,0.0
283, 84.8055710922652,45.0,148.0,140.0,244.0,204.0,148.0,0.00014861197
284, 51.49934627965457,71.56505117707799,nan,196.0,332.0,196.0,140.0,0.0001281709
285, 37.874983651098205,nan,nan,196.0,332.0,204.0,140.0,0.0001281709
286, 41.82016988013577,0.0,nan,196.0,332.0,196.0,132.0,7.547632e-05
287, 47.72631099390627,0.0,nan,196.0,332.0,188.0,132.0,0.0007222091
288, 57.89374404488215,0.0,nan,196.0,332.0,188.0,132.0,0.000523773
289, 57.89374404488215,45.0,nan,196.0,332.0,188.0,132.0,0.00023479333
290, nan,nan,nan,140.0,244.0,172.0,132.0,0.00030217748
291, 30.96375653207352,nan,nan,140.0,244.0,180.0,132.0,0.0011572264
292, 66.80140948635182,nan,nan,140.0,244.0,180.0,132.0,0.0012864928
293, nan,nan,nan,140.0,244.0,180.0,140.0,0.00063406717
294, 46.39718102729638,0.0,nan,196.0,332.0,212.0,140.0,0.00066134555
295, 66.1247191460725,nan,156.0,196.0,332.0,188.0,340.0,0.0011895393
296, 73.94001269283936,nan,156.0,196.0,332.0,188.0,340.0,0.0011895393
297, 76.7594800848128,nan,nan,156.0,236.0,236.0,164.0,0.00070765143
298, nan,nan,nan,156.0,236.0,228.0,164.0,0.0012413852
299, nan,nan,nan,164.0,236.0,228.0,164.0,0.0012267957
300, nan,nan,nan,164.0,236.0,236.0,172.0,0.0012552838
301, 50.19442890773481,71.56505117707799,nan,188.0,332.0,252.0,180.0,0.0012267957
302, 63.43494882292201,nan,nan,260.0,180.0,228.0,236.0,0.00026679126
303, 32.6805547433634,18.43494882292201,188.0,204.0,268.0,260.0,188.0,0.0003756836
304, 77.9052429229879,nan,172.0,204.0,260.0,244.0,172.0,0.0011639668
305, 64.4400348281762,nan,172.0,172.0,228.0,252.0,164.0,0.0012552838
