Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram_rightLegAngleSignal, pgram_leftLegAngleSignal, pgram_yPositionOfNoseSignal, pgram_xPositionOfRHipSignal, pgram_yPositionOfRHipSignal, pgram_xPositionOfLHipSignal, pgram_yPositionOfLHipSignal, pgram_all, combined_signal, rightLegAngleSignal_interpolated, leftLegAngleSignal_interpolated, yPositionOfNoseSignal_interpolated, xPositionOfRHipSignal_interpolated, yPositionOfRHipSignal_interpolated, xPositionOfLHipSignal_interpolated, yPositionOfLHipSignal_interpolated
198,82.23483276,nan,nan,300,204,260,188,28.35762978,0.39822197,0.64699924,134.084549,496.4865112,524.6795044,6.154221535,4101.921387,1325.367554,82.23483276,88.52404022,202.6086884,300,204,260,188
199,nan,nan,nan,nan,nan,nan,nan,231.5200958,43.14981461,0.913481236,833.3305664,1965.146729,89.35919189,599.2849731,5588.911133,1317.771729,81.78690338,87.78605652,201.9130402,293.1428528,212.5714264,260.5714417,180
200,nan,nan,nan,nan,nan,nan,nan,8.192056656,28.75321388,0.49347496,266.3544006,2846.834473,137.8617249,1010.568237,6896.116699,1310.175781,81.33896637,87.04807281,201.217392,286.2857056,221.1428528,261.1428528,172
201,nan,nan,nan,nan,nan,nan,nan,56.39648438,7.86717844,1.810635805,78.21214294,2799.226074,0.661496043,518.2606201,6890.112305,1302.579956,80.89102936,86.31008911,200.5217438,279.4285583,229.7142792,261.7142944,164
202,nan,nan,nan,nan,nan,nan,nan,6.021918297,22.43295097,0.162193596,17.63900185,5345.470703,202.2445679,7883.212891,8097.675293,1294.984131,80.44309998,85.57211304,199.8260803,272.5714417,238.2857208,262.2857056,156
203,nan,nan,nan,nan,nan,nan,nan,4.972427368,0.473901093,2.06610465,23.56804657,862.921875,641.71698,2715.175293,9661.682617,1287.388306,79.99516296,84.83412933,199.1304321,265.7142944,246.8571472,262.8571472,148
204,nan,nan,nan,nan,nan,nan,nan,799.7752686,0.139676422,3.35331893,306.7813721,314.1196594,1092.81897,7301.917969,7999.585449,1279.79248,79.54722595,84.09614563,198.4347839,258.8571472,255.4285736,263.4285583,140
205,nan,nan,nan,nan,nan,nan,nan,95.25976563,102.1126404,1.324799418,273.2329712,7421.354004,268.0742493,1654.422729,6038.781738,1272.196533,79.09929657,83.35816193,197.7391357,252,264,264,132
206,nan,nan,nan,nan,nan,nan,nan,481.3321533,19.42765045,0.250190765,44.73604965,58.81275177,130.9499969,7297.316895,5554.01123,1264.600708,78.65135956,82.62018585,197.0434723,245.1428528,272.5714417,264.5714417,124
207,nan,nan,nan,nan,nan,nan,nan,7.231473446,1.552490115,0.167213351,4.005160809,329.5806885,0.983599126,92.94975281,6666.399414,1257.004883,78.20343018,81.88220215,196.3478241,238.2857208,281.1428528,265.1428528,116
208,nan,nan,nan,nan,nan,nan,nan,549.5598755,7.268846989,0.904439449,3.024787426,49.63115311,1.847512484,2792.013428,6138.062988,1249.409058,77.75549316,81.14421844,195.6521759,231.4285736,289.7142944,265.7142944,108
209,nan,nan,nan,nan,nan,nan,nan,286.5161743,9.037432671,5.927847385,2.626544237,10218.69629,460.7731628,2147.22168,3904.231445,1241.813232,77.30755615,80.40624237,194.9565277,224.5714264,298.2857056,266.2857056,100
210,nan,nan,nan,nan,nan,nan,nan,395.4320984,1.241555929,0.943862259,56.90401459,6431.827148,57.11083603,0.512876868,3806.614014,1234.217407,76.85962677,79.66825867,194.2608643,217.7142792,306.8571472,266.8571472,92
211,nan,nan,nan,nan,nan,nan,nan,9.018234253,16.7140274,0.698146045,774.204834,472.9758911,55.17169571,161.9833374,3566.201904,1226.62146,76.41168976,78.93027496,193.5652161,210.8571472,315.4285583,267.4285583,84
212,75.96375275,nan,nan,204,324,268,76,18.31325912,7.502274513,0.164632395,0.380280256,1237.74231,1182.506348,7206.719727,2835.932373,1219.025635,75.96375275,78.19229126,192.8695679,204,324,268,76
213,nan,nan,nan,nan,nan,nan,nan,4.453106403,15.98564625,2.609799147,0.839403689,8632.630859,424.7705994,105.9679337,2182.720703,1207.991943,75.96375275,77.45431519,192.1739197,202.3999939,324,264.7999878,71.19999695
214,nan,nan,nan,nan,nan,nan,nan,853.8805542,5.16185236,2.65856123,11.23746109,557.5018311,42.63329697,148.2037201,2817.575439,1196.958374,75.96375275,76.71633148,191.4782562,200.8000031,324,261.6000061,66.40000153
215,nan,nan,nan,nan,nan,nan,nan,142.3653412,1.25935185,1.317258596,198.7199707,1241.910156,256.8841858,0.178311899,3056.48584,1185.924683,75.96375275,75.97834778,190.782608,199.1999969,324,258.3999939,61.59999847
216,nan,nan,nan,nan,nan,nan,nan,47.52745819,12.85289383,0.469617695,63.26843262,16.42352104,119.1643753,4280.460449,2632.338867,1174.891113,75.96375275,75.24036407,190.0869598,197.6000061,324,255.1999969,56.79999924
217,75.96375275,nan,nan,196,324,252,52,5.326217651,15.50060177,0.016391909,21.05951309,1962.395386,3.576891661,1456.079834,2650.941895,1163.857422,75.96375275,74.502388,189.3913116,196,324,252,52
218,nan,nan,nan,196,324,252,52,421.7486877,0.815919459,0.218377233,5.179883003,244.7627106,68.81368256,100.3992462,2934.469971,1131.362305,44.90222549,73.7644043,188.6956482,196,324,252,52
219,13.84069538,nan,nan,196,188,268,60,5.435147762,25.66936874,3.393293858,648.5674438,1113.243042,7.735294342,153.8852692,3311.518066,986.8671265,13.84069538,73.02642059,188,196,188,268,60
220,nan,nan,nan,196,324,252,52,50.02249908,3.152267694,1.941224217,2.731364727,794.8549805,2.731779337,2884.869141,1990.079346,1099.309326,15.71656036,72.28843689,187.3043518,196,324,252,52
221,17.59242439,nan,nan,188,172,268,60,137.105072,0.000343344,0.38397193,0.123132132,169.2332916,254.0835114,634.4578857,2106.06665,963.7515869,17.59242439,71.55046082,186.6086884,188,172,268,60
222,17.59242439,nan,nan,188,172,268,60,9.883477211,73.00955963,0.045217,21.95808029,393.8641663,544.7206421,6239.70459,4602.671387,962.3179321,17.59242439,70.81247711,185.9130402,188,172,268,60
223,nan,nan,nan,196,324,244,52,7.105054855,3.779236555,0.436193883,98.50944519,1249.002075,8.024457932,772.0639648,4584.105469,1098.020142,26.72828293,70.07449341,185.217392,196,324,244,52
224,nan,nan,nan,268,52,nan,nan,42.80153275,0.000623708,0.789169848,389.9749146,3575.310791,44.78570938,679.3152466,6385.706055,909.7224121,35.86414337,69.33651733,184.5217438,268,52,246,54
225,45,nan,nan,268,52,nan,nan,6.810728073,1.328010201,2.497326136,14.23153687,1371.783691,7.502746582,901.1688232,6858.018066,921.4246216,45,68.59853363,183.8260803,268,52,248,56
226,nan,nan,nan,268,52,nan,nan,212.8727112,11.86204052,0.80354768,57.91649628,11.63465214,0.128051817,86.64785767,6870.42041,934.3122559,55.32125092,67.86054993,183.1304321,268,52,250,58
227,nan,nan,nan,196,324,252,60,4.731444836,4.827148438,0.873379767,1.082868934,44.19246674,0.033423416,2602.965576,7397.254395,1147.199829,65.64250183,67.12256622,182.4347839,196,324,252,60
