Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal
440,28.926425835253614,45.0,92.0,172.0,196.0,236.0,92.0
441,28.14160123226172,45.0,nan,172.0,188.0,236.0,92.0
442,28.926425835253614,nan,nan,172.0,196.0,236.0,92.0
443,45.0,nan,nan,244.0,100.0,196.0,340.0
444,38.08877288097531,45.0,nan,180.0,236.0,252.0,108.0
445,38.08877288097531,nan,nan,180.0,236.0,244.0,116.0
446,30.96375653207352,nan,nan,172.0,236.0,228.0,116.0
447,30.96375653207352,nan,nan,172.0,236.0,nan,nan
448,nan,45.0,nan,172.0,236.0,252.0,140.0
449,nan,nan,nan,nan,nan,nan,nan
450,52.1250163489018,nan,nan,196.0,332.0,252.0,148.0
451,45.0,nan,nan,196.0,332.0,252.0,156.0
452,nan,nan,nan,172.0,244.0,236.0,156.0
453,46.68468431789629,nan,nan,196.0,332.0,252.0,164.0
454,76.26373169437744,56.309932474020215,172.0,204.0,332.0,204.0,340.0
455,74.29136217098426,nan,180.0,196.0,348.0,204.0,340.0
456,63.92464441605123,nan,180.0,204.0,332.0,204.0,340.0
457,74.74488129694222,nan,180.0,204.0,332.0,204.0,340.0
458,nan,nan,188.0,204.0,268.0,204.0,260.0
459,63.92464441605123,nan,180.0,204.0,332.0,204.0,340.0
460,69.71744091108339,nan,172.0,204.0,332.0,204.0,340.0
461,87.58049078334368,nan,180.0,148.0,252.0,220.0,180.0
462,nan,nan,nan,148.0,260.0,212.0,180.0
463,70.55996517182382,nan,164.0,204.0,332.0,204.0,340.0
464,nan,nan,nan,140.0,260.0,204.0,172.0
465,71.56505117707799,66.80140948635182,164.0,204.0,332.0,204.0,340.0
466,36.86989764584402,0.0,nan,140.0,260.0,196.0,156.0
467,84.28940686250036,26.565051177077994,164.0,140.0,260.0,196.0,164.0
468,26.565051177077994,nan,nan,188.0,164.0,188.0,228.0
469,84.28940686250036,nan,172.0,148.0,260.0,196.0,172.0
470,71.56505117707799,45.0,172.0,204.0,332.0,204.0,172.0
471,26.565051177077994,45.0,nan,148.0,260.0,204.0,164.0
472,nan,nan,nan,148.0,260.0,212.0,172.0
473,nan,26.565051177077994,nan,148.0,252.0,228.0,180.0
474,54.46232220802562,66.80140948635182,180.0,204.0,332.0,204.0,340.0
475,62.59242456218159,21.80140948635181,188.0,204.0,332.0,204.0,340.0
476,43.15238973400541,nan,nan,204.0,332.0,244.0,188.0
477,25.34617594194669,54.46232220802562,276.0,188.0,196.0,156.0,220.0
478,43.15238973400541,45.0,nan,204.0,332.0,244.0,188.0
479,11.309932474020215,nan,nan,172.0,252.0,236.0,196.0
480,11.309932474020215,nan,nan,172.0,252.0,236.0,188.0
481,45.0,90.0,nan,196.0,332.0,252.0,196.0
482,81.15818543980832,nan,188.0,204.0,332.0,196.0,340.0
483,nan,77.47119229084849,196.0,204.0,268.0,212.0,268.0
484,38.884496433714595,nan,nan,204.0,332.0,252.0,180.0
485,28.412661443072587,nan,nan,204.0,268.0,252.0,180.0
486,38.08877288097532,nan,nan,196.0,332.0,252.0,172.0
487,nan,nan,nan,172.0,236.0,244.0,156.0
488,28.739795291688043,45.0,nan,204.0,276.0,260.0,156.0
489,nan,nan,nan,172.0,228.0,244.0,148.0
490,nan,nan,nan,172.0,228.0,244.0,148.0
491,45.690277197865086,75.96375653207353,132.0,196.0,348.0,196.0,340.0
492,55.619655276155136,75.96375653207353,124.0,196.0,348.0,196.0,340.0
493,33.690067525979785,nan,nan,180.0,228.0,nan,nan
494,75.96375653207353,nan,nan,172.0,228.0,228.0,116.0
495,nan,nan,nan,172.0,228.0,252.0,116.0
496,nan,0.0,nan,180.0,228.0,244.0,108.0
497,46.548157698977974,83.6598082540901,92.0,196.0,332.0,196.0,340.0
498,45.0,nan,nan,196.0,340.0,212.0,92.0
499,nan,26.565051177077994,84.0,188.0,236.0,236.0,84.0
500,nan,nan,nan,228.0,84.0,188.0,340.0
501,5.403791360249714,71.56505117707799,84.0,172.0,204.0,228.0,84.0
502,6.188615963241602,71.56505117707799,84.0,172.0,196.0,228.0,84.0
503,24.775140568831922,71.56505117707799,nan,172.0,196.0,228.0,84.0
504,nan,nan,nan,180.0,196.0,220.0,84.0
505,nan,nan,nan,172.0,196.0,220.0,84.0
506,20.37643521383639,nan,nan,180.0,204.0,220.0,84.0
507,nan,nan,nan,172.0,204.0,220.0,84.0
508,29.291362170984254,45.0,84.0,188.0,348.0,188.0,340.0
509,25.559965171823812,45.0,nan,172.0,204.0,228.0,92.0
510,30.323606862549987,nan,nan,172.0,212.0,228.0,92.0
511,nan,71.56505117707799,nan,180.0,228.0,236.0,92.0
512,nan,45.0,100.0,172.0,228.0,236.0,100.0
513,nan,45.0,100.0,180.0,228.0,236.0,100.0
514,nan,nan,nan,236.0,108.0,244.0,100.0
515,nan,nan,nan,236.0,108.0,nan,nan
516,nan,nan,nan,244.0,108.0,nan,nan
517,37.30394827798343,nan,nan,172.0,228.0,244.0,124.0
518,43.99491399474583,nan,nan,172.0,236.0,244.0,124.0
519,45.78482460299189,26.565051177077994,nan,164.0,236.0,252.0,132.0
520,21.80140948635181,nan,nan,188.0,348.0,228.0,132.0
521,nan,nan,nan,196.0,260.0,nan,nan
522,nan,nan,nan,180.0,236.0,228.0,148.0
523,nan,nan,nan,244.0,164.0,228.0,228.0
524,72.03086025984298,nan,164.0,188.0,332.0,188.0,340.0
525,68.4985656759521,nan,164.0,188.0,332.0,188.0,340.0
526,76.26373169437744,nan,172.0,188.0,332.0,188.0,340.0
527,38.884496433714595,nan,nan,188.0,332.0,236.0,180.0
528,68.62937773065681,nan,180.0,188.0,332.0,188.0,340.0
529,60.94539590092286,nan,180.0,188.0,332.0,188.0,340.0
530,63.92464441605123,56.309932474020215,180.0,196.0,332.0,188.0,340.0
531,62.59242456218159,nan,180.0,188.0,332.0,188.0,340.0
532,69.71744091108339,nan,180.0,188.0,332.0,188.0,340.0
533,57.9946167919165,nan,172.0,196.0,332.0,196.0,340.0
534,nan,nan,180.0,196.0,268.0,212.0,180.0
535,nan,41.6335393365702,nan,196.0,268.0,204.0,172.0
536,nan,nan,nan,212.0,172.0,188.0,228.0
537,68.62937773065681,nan,164.0,196.0,332.0,196.0,340.0
538,83.18178542834814,45.0,nan,124.0,244.0,196.0,172.0
539,79.01134890350603,nan,nan,116.0,236.0,196.0,172.0
540,60.70863782901574,nan,164.0,188.0,332.0,188.0,340.0
541,nan,nan,172.0,196.0,268.0,196.0,172.0
542,60.70863782901574,53.13010235415598,nan,196.0,332.0,188.0,340.0
543,nan,nan,nan,188.0,340.0,180.0,164.0
544,67.83365417791754,56.309932474020215,172.0,196.0,332.0,188.0,340.0
545,70.40771810894847,nan,180.0,196.0,332.0,196.0,340.0
546,43.15238973400541,nan,nan,196.0,332.0,220.0,180.0
547,45.0,nan,nan,196.0,332.0,228.0,188.0
548,nan,nan,nan,148.0,252.0,212.0,188.0
549,26.565051177077994,nan,nan,156.0,252.0,nan,nan
550,50.19442890773481,nan,nan,196.0,332.0,220.0,196.0
551,71.56505117707799,45.0,nan,196.0,332.0,236.0,204.0
552,50.19442890773481,0.0,nan,196.0,332.0,244.0,196.0
553,45.0,nan,nan,164.0,252.0,228.0,188.0
554,45.0,nan,nan,172.0,244.0,228.0,188.0
555,90.0,nan,196.0,196.0,332.0,236.0,196.0
556,nan,nan,nan,172.0,244.0,236.0,180.0
557,nan,nan,nan,172.0,244.0,244.0,172.0
558,48.94518622903756,nan,nan,196.0,332.0,252.0,172.0
559,nan,nan,nan,164.0,236.0,244.0,156.0
560,nan,nan,nan,164.0,236.0,244.0,148.0
561,25.559965171823812,nan,nan,204.0,276.0,252.0,148.0
562,34.5085229876684,nan,nan,196.0,332.0,244.0,132.0
563,34.5085229876684,nan,nan,196.0,332.0,252.0,132.0
564,48.215483991748215,nan,nan,188.0,348.0,244.0,124.0
565,49.76364169072618,nan,nan,188.0,348.0,236.0,116.0
566,nan,nan,nan,188.0,340.0,nan,nan
567,0.0,nan,nan,236.0,100.0,196.0,332.0
568,nan,nan,nan,212.0,92.0,nan,nan
569,nan,nan,nan,nan,nan,nan,nan
570,nan,nan,nan,228.0,84.0,nan,nan
571,nan,nan,nan,228.0,76.0,nan,nan
572,nan,71.56505117707799,84.0,172.0,204.0,228.0,84.0
573,26.896236965493372,71.56505117707799,84.0,172.0,204.0,228.0,84.0
574,25.559965171823812,nan,nan,172.0,196.0,220.0,84.0
575,27.681061568485262,nan,nan,172.0,204.0,220.0,84.0
576,23.498565675952097,nan,76.0,188.0,348.0,188.0,332.0
577,31.9543629370514,45.0,84.0,188.0,348.0,188.0,332.0
