Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram_rightLegAngleSignal, pgram_leftLegAngleSignal, pgram_yPositionOfNoseSignal, pgram_xPositionOfRHipSignal, pgram_yPositionOfRhipSignal, pgram_xPositionOfLHipSignal, pgram_yPositionOfLhipSignal, pgram_all,rightLegAngleSignal_interpolated, leftLegAngleSignal_interpolated, yPositionOfNoseSignal_interpolated, xPositionOfRHipSignal_interpolated, yPositionOfRHipSignal_interpolated, xPositionOfLHipSignal_interpolated, yPositionOfLHipSignal_interpolated
87,87.27368927001953,nan,nan,196.0,244.0,268.0,156.0,37.28350067138672,48.65385818481445,185.29721069335938,1239.687744140625,12190.404296875,208.29672241210938,390.5702209472656,1161.8450927734375,87.27368927001953,55.96270751953125,154.6086883544922,196.0,244.0,268.0,156.0
88,69.30455017089844,nan,156.0,212.0,324.0,212.0,332.0,455.4040222167969,386.5307922363281,86.74121856689453,310.67242431640625,217.71450805664062,856.8792724609375,16723.158203125,1362.05029296875,69.30455017089844,56.745758056640625,156.0,212.0,324.0,212.0,332.0
89,65.77225494384766,57.52880859375,nan,212.0,324.0,212.0,332.0,261.5560302734375,6.96746301651001,213.6267547607422,1.7819766998291016,334.9182434082031,922.0317993164062,9268.0703125,1363.301025390625,65.77225494384766,57.52880859375,160.0,212.0,324.0,212.0,332.0
90,58.861026763916016,nan,164.0,212.0,324.0,212.0,332.0,1908.80908203125,1203.2357177734375,358.0693054199219,146.63482666015625,2923.581787109375,207.29452514648438,46.13566970825195,1362.7080078125,58.861026763916016,59.84695816040039,164.0,212.0,324.0,212.0,332.0
91,72.89727020263672,nan,172.0,212.0,324.0,212.0,332.0,0.10900665074586868,6.484568119049072,128.26290893554688,22.11909294128418,211.67105102539062,12.859333992004395,3993.189697265625,1387.0623779296875,72.89727020263672,62.16510772705078,172.0,212.0,324.0,212.0,332.0
92,63.924644470214844,nan,172.0,212.0,332.0,212.0,340.0,0.05969138443470001,186.75604248046875,75.62820434570312,92.4409408569336,241.3822784423828,178.0927276611328,3006.6123046875,1396.407958984375,63.924644470214844,64.48326110839844,172.0,212.0,332.0,212.0,340.0
93,63.924644470214844,66.80140686035156,172.0,212.0,332.0,212.0,340.0,49.2397346496582,2.9531099796295166,14.913384437561035,1623.6610107421875,711.4127807617188,0.04064019024372101,532.7296142578125,1398.72607421875,63.924644470214844,66.80140686035156,172.0,212.0,332.0,212.0,340.0
94,21.501434326171875,56.88865661621094,180.0,228.0,268.0,228.0,260.0,1747.2525634765625,2.6540687084198,182.8302459716797,211.7987518310547,1256.2244873046875,741.0958251953125,7207.998046875,1242.39013671875,21.501434326171875,56.88865661621094,180.0,228.0,268.0,228.0,260.0
95,69.71743774414062,nan,172.0,212.0,332.0,212.0,340.0,1141.9342041015625,53.35417556762695,74.38457489013672,1213.900390625,1989.7896728515625,80.70435333251953,7554.2412109375,1387.588623046875,69.71743774414062,49.87120819091797,172.0,212.0,332.0,212.0,340.0
96,69.71743774414062,nan,172.0,212.0,332.0,212.0,340.0,6.771491050720215,1094.0885009765625,133.02142333984375,136.70721435546875,4626.4951171875,659.7371826171875,1541.576171875,1380.5711669921875,69.71743774414062,42.853759765625,172.0,212.0,332.0,212.0,340.0
